date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:09	17958/17958	---M--	200	added ('OK')	image/svg+xml	etag:%224626-58a21877993d8%22	http://demo.themeforshop.com/html_fastfood/assets/fonts/cs-font.svg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/fonts/cs-font.svg	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/font-icon.css)
18:52:10	132851/132851	---M--	200	added ('OK')	image/jpeg	etag:%22206f3-58a21877c81d8%22	http://demo.themeforshop.com/html_fastfood/assets/images/bg-pass.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg-pass.jpg	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:10	19186/19186	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2018:52:19%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/grabbing.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/grabbing.png	(from https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/owl.carousel.css)
18:52:10	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:52:10%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/images/gradient/g30.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/images/gradient/g30.80.delayed	(from https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css)
18:52:10	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:52:10%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/images/gradient/g40.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/images/gradient/g40.png	(from https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css)
18:52:11	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:52:11%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/shadow1.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/shadow1.png	(from https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css)
18:52:11	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:52:11%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/shadow2.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/shadow2.png	(from https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css)
18:52:11	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:52:11%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/shadow3.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/shadow3.png	(from https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css)
18:52:12	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:52:12%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/gridtile.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/gridtile.png	(from https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css)
18:52:12	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:52:12%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/gridtile_white.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/t/3/assets/gridtile_white.png	(from https://cdn.shopify.com/s/files/1/2487/3424/t/3/assets/themepunch.revolution.css)
